repo,sha,generatedAt,files,nodes,edges,cycles,totalLOC,parseMs,parserMs,p95NodeDegree,maxInstability,hottestNode,unusedDeps,deadModules,workspaces
langfuse,8c6d09b91aab826eae56518f4b10f7b72d84bde6,2026-06-01T15:36:24.813Z,2447,2447,8491,14,559369,5363,5235,22,1,web/src/components/ui/button.tsx,68,164,7
mastra,91313ff2491d84f1c9e41098eb1f5a1502405bfe,2026-06-01T15:36:49.814Z,6897,6897,15691,41,1679221,15192,14822,12,1,packages/playground-ui/src/lib/utils.ts,670,762,146
next-auth,dab3cfb1a04aad0b20e616bf9f1d21b5d6e318cd,2026-06-01T15:36:54.527Z,540,540,588,4,53275,1456,1343,7,1,packages/core/src/providers/index.ts,82,176,37
openstatus,def2e1f4e74ef4d182f10637c9a67754189dcd93,2026-06-01T15:37:06.126Z,1774,1774,3820,10,216497,2102,2102,11,1,packages/services/src/context.ts,0,240,7
radix-primitives,e5c660d0bdc4220abb70d392fb19da37bca873cc,2026-06-01T15:37:08.361Z,248,248,143,0,46083,874,851,2,1,apps/ssr-testing/app/slot/client.tsx,161,68,5
shadcn-taxonomy,298a8857c7128a0d121e7f699dfd729f23b3966d,2026-06-01T15:37:09.952Z,127,127,247,0,7730,342,335,9,1,lib/utils.ts,27,25,0
shadcn-ui,adac7cae1f5bb08c210483b73732100cec51987c,2026-06-01T15:37:18.817Z,3690,3690,11094,9,489948,3382,3297,13,1,apps/v4/lib/utils.ts,223,84,3
tanstack-query,134809544c27cc033ef696d79e3fe4bf75d1e6a8,2026-06-01T15:37:25.502Z,1031,1031,1497,3,169734,2390,2312,9,1,packages/preact-query/src/index.ts,268,161,102
trpc,c7360d4eb3c89c336468809a293e5cda4b302d4b,2026-06-01T15:37:29.719Z,895,895,2264,12,116336,2396,2341,11,1,packages/server/src/index.ts,332,108,40
uploadthing,720849fa29eae89fae54b75898c1893e2840cde2,2026-06-01T15:37:33.897Z,441,441,546,2,39120,1157,1109,7,1,packages/uploadthing/src/types.ts,111,79,42
cal-web,180ede28f0bddf2738933a6e60a8e80f6116d7da,2026-06-01T15:37:51.560Z,988,988,1287,9,126331,2071,2020,6,1,app/_utils.tsx,64,162,0
documenso,c50a01d0044274a76dab7ebba5ca0a6738ff5e64,2026-06-01T15:38:02.403Z,1889,1889,3611,25,238181,3603,3532,11,1,packages/trpc/server/trpc.ts,84,575,16
dub,6af085f41af1e0473b3fdedd79a5ceba0fa3528d,2026-06-01T15:38:11.655Z,3927,3927,10929,19,437499,5822,5751,14,1,apps/web/lib/types.ts,49,280,12
formbricks,6dc57403c93c4795bd1fc7a873c8fc2c350ac871,2026-06-01T15:38:26.427Z,2535,2535,6165,7,389973,4863,4750,14,1,apps/web/lib/constants.ts,94,246,18
hoppscotch,e067ee0b3224c675ba4b9bcd98366d0f1b6be3ee,2026-06-01T15:38:31.539Z,1058,1058,2072,18,214156,1920,1871,13,1,packages/hoppscotch-js-sandbox/src/utils/test-helpers.ts,215,203,14
infisical,15d65e20757f5bccef8e8540b2baaca20b7bbf1c,2026-06-01T15:39:48.583Z,6939,6939,11568,2,956047,11891,11722,8,1,backend/src/db/schemas/index.ts,37,1254,0
novu,cf6aabe6ac4a9ce94fc334aa10e83e92e8d66ad6,2026-06-01T15:40:02.263Z,7048,7048,24695,42,757885,8467,8194,19,1,libs/internal-sdk/src/types/fp.ts,439,536,37
payload,82862242d6170ce3f29dfe3f20ac7fbf050dad7d,2026-06-01T15:40:21.252Z,6305,6305,14911,56,754344,12854,12636,14,1,packages/ui/src/exports/client/index.ts,471,874,51
plane-web,b1c78fe4c832e188454840eb38fd20cd05ef8b0a,2026-06-01T15:40:29.177Z,2049,2049,5569,33,181970,1707,1665,13,1,core/hooks/store/user/index.ts,12,104,0
react-email,4d505bbb93badccc086ca261645d856e469e4c03,2026-06-01T15:40:43.453Z,1092,1092,1791,7,201110,1989,1933,9,1,apps/web/components/_components/layout.tsx,95,325,13
refine,7a8aec225a2f5d4bc155d386b1766c5695cd485c,2026-06-01T15:40:58.466Z,6376,6376,6636,19,581297,7971,7971,6,1,packages/core/src/contexts/data/types.ts,0,1410,253
trigger.dev,e1950778e2f2007e2d432b8f8a8fc89531c51f19,2026-06-01T15:41:10.551Z,2526,2526,9040,21,574931,6134,5963,23,1,apps/webapp/app/db.server.ts,247,492,58
twenty,ba493e5a23bc69aefa283c5867c24484ef60bbe4,2026-06-01T15:41:51.736Z,18156,18156,65478,64,1527941,20684,20421,21,1,packages/twenty-front/src/generated-metadata/graphql.ts,233,2334,18
unkey,f696049476b3ce3f4e07f74ef2674d3b7e703355,2026-06-01T15:42:06.007Z,1934,1934,2931,10,182080,2403,2350,7,1,web/internal/icons/src/props.ts,68,326,0
